family_id,base_variant_id,sensitive_variant_id,patch_layer,patch_site,patch_mode,head_index,multi_head_knockout,original_S_lp,patched_S_lp,recovery_fraction
CM_B_UM_059,0,1,14,resid_post_last_prompt,head_knockout,24,24,10.03125,10.03125,0.0
CM_B_UM_059,0,1,15,resid_post_last_prompt,head_knockout,24,24,10.03125,8.6875,0.1339563862928349
CM_B_UM_059,0,1,16,resid_post_last_prompt,head_knockout,24,24,10.03125,10.3125,-0.028037383177569986
CM_B_UM_059,0,1,17,resid_post_last_prompt,head_knockout,24,24,10.03125,10.5625,-0.052959501557632294
CM_B_UM_059,0,1,18,resid_post_last_prompt,head_knockout,24,24,10.03125,10.6875,-0.06542056074766345
CM_B_UM_059,0,1,19,resid_post_last_prompt,head_knockout,24,24,10.03125,9.375,0.06542056074766356
CM_B_UM_059,0,1,20,resid_post_last_prompt,head_knockout,24,24,10.03125,10.4375,-0.04049844236760114
CM_B_UM_032,0,1,14,resid_post_last_prompt,head_knockout,24,24,5.5625,5.8125,-0.04494382022471921
CM_B_UM_032,0,1,15,resid_post_last_prompt,head_knockout,24,24,5.5625,2.71875,0.5112359550561798
CM_B_UM_032,0,1,16,resid_post_last_prompt,head_knockout,24,24,5.5625,6.375,-0.146067415730337
CM_B_UM_032,0,1,17,resid_post_last_prompt,head_knockout,24,24,5.5625,6.3125,-0.1348314606741574
CM_B_UM_032,0,1,18,resid_post_last_prompt,head_knockout,24,24,5.5625,6.4375,-0.1573033707865168
CM_B_UM_032,0,1,19,resid_post_last_prompt,head_knockout,24,24,5.5625,5.5625,0.0
CM_B_UM_032,0,1,20,resid_post_last_prompt,head_knockout,24,24,5.5625,6.125,-0.101123595505618
CM_B_STD_006,0,2,14,resid_post_last_prompt,head_knockout,24,24,5.4375,5.875,-0.08045977011494254
CM_B_STD_006,0,2,15,resid_post_last_prompt,head_knockout,24,24,5.4375,3.53125,0.3505747126436781
CM_B_STD_006,0,2,16,resid_post_last_prompt,head_knockout,24,24,5.4375,5.875,-0.08045977011494254
CM_B_STD_006,0,2,17,resid_post_last_prompt,head_knockout,24,24,5.4375,6.53125,-0.20114942528735624
CM_B_STD_006,0,2,18,resid_post_last_prompt,head_knockout,24,24,5.4375,6.09375,-0.1206896551724137
